iter	Passed	Remaining
254	6656	19446
255	6679	19412
256	6702	19376
257	6725	19341
258	6749	19310
259	6773	19278
260	6797	19245
261	6819	19210
262	6844	19178
263	6869	19150
264	6893	19119
265	6917	19087
266	6941	19057
267	6966	19026
268	6990	18996
269	7015	18967
270	7039	18937
271	7069	18920
272	7095	18894
273	7121	18868
274	7147	18842
275	7172	18815
276	7198	18789
277	7225	18765
278	7255	18748
279	7282	18725
280	7308	18699
281	7332	18670
282	7356	18638
283	7382	18612
284	7409	18588
285	7434	18561
286	7459	18530
287	7483	18502
288	7510	18476
289	7534	18446
290	7568	18438
291	7594	18413
292	7620	18388
293	7654	18381
294	7680	18354
295	7706	18328
296	7732	18301
297	7756	18271
298	7781	18242
299	7807	18217
300	7835	18195
301	7862	18172
302	7890	18150
303	7913	18117
304	7935	18083
305	7959	18052
306	7983	18021
307	8007	17990
308	8030	17958
309	8054	17928
310	8078	17897
311	8103	17868
312	8126	17837
313	8150	17806
314	8173	17775
315	8198	17745
316	8222	17715
317	8245	17683
318	8269	17652
319	8293	17623
320	8318	17595
321	8340	17562
322	8365	17533
323	8388	17501
324	8413	17473
325	8436	17441
326	8460	17411
327	8484	17382
328	8507	17352
329	8533	17326
330	8563	17307
331	8590	17284
332	8615	17256
333	8637	17222
334	8661	17193
335	8684	17163
336	8708	17133
337	8732	17103
338	8755	17071
339	8778	17040
340	8802	17010
341	8826	16982
342	8850	16952
343	8875	16925
344	8899	16895
345	8924	16868
346	8948	16840
347	8972	16811
348	8996	16781
349	9020	16752
350	9046	16726
351	9069	16695
352	9092	16665
353	9117	16637
354	9141	16609
355	9166	16581
356	9189	16552
357	9214	16523
358	9238	16494
359	9261	16464
360	9285	16435
361	9308	16406
362	9332	16377
363	9357	16349
364	9381	16320
365	9405	16292
366	9429	16264
367	9453	16235
368	9476	16205
369	9500	16175
370	9525	16149
371	9555	16131
372	9580	16103
373	9603	16074
374	9627	16046
375	9652	16018
376	9676	15990
377	9699	15961
378	9723	15932
379	9748	15904
380	9773	15877
381	9797	15849
382	9821	15821
383	9844	15792
384	9871	15768
385	9894	15738
386	9917	15709
387	9941	15680
388	9966	15654
389	9990	15625
390	10013	15596
391	10038	15569
392	10063	15542
393	10087	15514
394	10111	15487
395	10136	15460
396	10162	15435
397	10186	15408
398	10213	15384
399	10237	15356
400	10262	15329
401	10287	15302
402	10311	15275
403	10335	15246
404	10359	15219
405	10384	15193
406	10408	15165
407	10431	15136
408	10456	15109
409	10480	15081
410	10506	15056
411	10533	15033
412	10561	15010
413	10583	14981
414	10607	14953
415	10630	14924
416	10652	14893
417	10676	14865
418	10699	14836
419	10722	14807
420	10746	14779
421	10769	14750
422	10793	14723
423	10816	14694
424	10840	14666
425	10866	14641
426	10891	14615
427	10914	14586
428	10938	14559
429	10962	14531
430	10986	14504
431	11010	14476
432	11035	14450
433	11061	14425
434	11089	14403
435	11114	14376
436	11139	14351
437	11163	14324
438	11187	14296
439	11211	14269
440	11236	14242
441	11260	14215
442	11283	14187
443	11307	14160
444	11331	14132
445	11355	14105
446	11379	14078
447	11402	14049
448	11425	14021
449	11449	13993
450	11473	13966
451	11498	13940
452	11526	13918
453	11555	13896
454	11579	13869
455	11603	13842
456	11627	13815
457	11651	13788
458	11675	13760
459	11698	13733
460	11722	13705
461	11745	13678
462	11769	13650
463	11793	13623
464	11817	13596
465	11840	13568
466	11863	13540
467	11887	13513
468	11911	13485
469	11934	13457
470	11957	13430
471	11981	13403
472	12004	13375
473	12029	13349
474	12052	13321
475	12078	13296
476	12101	13268
477	12126	13242
478	12149	13214
479	12174	13188
480	12198	13161
481	12222	13135
482	12246	13109
483	12271	13082
484	12296	13056
485	12322	13032
486	12347	13006
487	12371	12980
488	12395	12953
489	12420	12927
490	12444	12900
491	12468	12873
492	12492	12847
493	12520	12824
494	12548	12801
495	12572	12775
496	12595	12747
497	12619	12721
498	12644	12694
499	12668	12668
500	12692	12642
501	12716	12615
502	12741	12589
503	12764	12562
504	12788	12534
505	12811	12508
506	12836	12482
507	12859	12454
508	12883	12428
509	12907	12401
510	12930	12373
511	12954	12347
512	12979	12321
513	13004	12295
514	13028	12269
515	13051	12241
516	13074	12215
517	13098	12188
518	13121	12161
519	13145	12134
520	13170	12108
521	13194	12081
522	13218	12055
523	13243	12029
524	13269	12005
525	13292	11978
526	13315	11951
527	13339	11924
528	13371	11905
529	13409	11891
530	13433	11865
531	13456	11837
532	13479	11810
533	13505	11786
534	13533	11762
535	13557	11736
536	13581	11709
537	13606	11684
538	13630	11658
539	13653	11630
540	13678	11605
541	13701	11578
542	13725	11551
543	13748	11524
544	13772	11498
545	13797	11472
546	13821	11445
547	13844	11419
548	13868	11392
549	13892	11366
550	13916	11340
551	13939	11313
552	13963	11287
553	13988	11261
554	14013	11235
555	14036	11209
556	14060	11182
557	14084	11156
558	14108	11130
559	14132	11103
560	14156	11077
561	14177	11049
562	14202	11023
563	14226	10997
564	14250	10971
565	14274	10945
566	14298	10918
567	14321	10892
568	14344	10865
569	14369	10839
570	14392	10813
571	14416	10787
572	14439	10759
573	14461	10732
574	14485	10706
575	14512	10682
576	14535	10655
577	14559	10629
578	14582	10603
579	14605	10576
580	14629	10550
581	14653	10524
582	14675	10496
583	14698	10470
584	14721	10443
585	14746	10418
586	14771	10392
587	14794	10366
588	14817	10339
589	14840	10312
590	14865	10287
591	14889	10261
592	14912	10235
593	14936	10209
594	14959	10182
595	14983	10156
596	15006	10130
597	15030	10103
598	15053	10077
599	15077	10051
600	15101	10025
601	15125	9999
602	15150	9974
603	15174	9948
604	15198	9922
605	15224	9898
606	15247	9872
607	15271	9846
608	15295	9820
609	15319	9794
610	15343	9768
611	15369	9744
612	15392	9717
613	15415	9690
614	15439	9665
615	15462	9639
616	15485	9612
617	15508	9586
618	15532	9560
619	15555	9534
620	15580	9508
621	15604	9483
622	15628	9457
623	15651	9431
624	15675	9405
625	15699	9379
626	15723	9353
627	15747	9327
628	15771	9302
629	15795	9277
630	15820	9251
631	15844	9225
632	15869	9200
633	15893	9175
634	15917	9149
635	15941	9123
636	15964	9097
637	15988	9072
638	16011	9045
639	16034	9019
640	16058	8993
641	16085	8969
642	16108	8943
643	16131	8917
644	16155	8891
645	16178	8865
646	16201	8839
647	16224	8813
648	16248	8787
649	16272	8762
650	16296	8736
651	16320	8711
652	16346	8686
653	16371	8661
654	16395	8635
655	16419	8610
656	16442	8584
657	16466	8558
658	16490	8532
659	16513	8506
660	16537	8481
661	16560	8455
662	16585	8430
663	16608	8404
664	16633	8379
665	16657	8353
666	16680	8327
667	16704	8302
668	16729	8277
669	16753	8251
670	16777	8226
671	16801	8200
672	16824	8174
673	16849	8149
674	16873	8124
675	16898	8099
676	16921	8073
677	16946	8048
678	16970	8022
679	16993	7996
680	17016	7970
681	17041	7945
682	17064	7920
683	17088	7894
684	17111	7868
685	17134	7843
686	17158	7817
687	17181	7791
688	17205	7766
689	17229	7740
690	17253	7715
691	17277	7690
692	17301	7664
693	17326	7639
694	17350	7614
695	17374	7588
696	17398	7563
697	17422	7537
698	17446	7512
699	17470	7487
700	17494	7461
701	17517	7436
702	17540	7410
703	17565	7385
704	17588	7359
705	17611	7334
706	17635	7308
707	17659	7283
708	17683	7258
709	17707	7232
710	17730	7206
711	17755	7181
712	17779	7156
713	17802	7131
714	17826	7105
715	17851	7080
716	17874	7055
717	17898	7029
718	17922	7004
719	17947	6979
720	17971	6954
721	17994	6928
722	18017	6903
723	18042	6877
724	18066	6852
725	18090	6827
726	18114	6802
727	18138	6776
728	18162	6751
729	18187	6726
730	18211	6701
731	18236	6676
732	18258	6650
733	18284	6626
734	18308	6601
735	18332	6575
736	18357	6550
737	18380	6525
738	18404	6499
739	18427	6474
740	18451	6449
741	18475	6424
742	18499	6398
743	18522	6373
744	18546	6348
745	18569	6322
746	18593	6297
747	18617	6272
748	18640	6246
749	18665	6221
750	18689	6196
751	18713	6171
752	18738	6146
753	18760	6120
754	18784	6095
755	18806	6069
756	18837	6047
757	18860	6021
758	18895	5999
759	18928	5977
760	18952	5952
761	18974	5926
762	18997	5900
763	19020	5875
764	19045	5850
765	19068	5825
766	19090	5799
767	19114	5774
768	19138	5749
769	19162	5723
770	19186	5698
771	19211	5673
772	19234	5648
773	19262	5624
774	19286	5599
775	19309	5573
776	19333	5548
777	19357	5523
778	19380	5498
779	19404	5473
780	19427	5447
781	19452	5422
782	19475	5397
783	19498	5372
784	19521	5346
785	19545	5321
786	19567	5296
787	19592	5270
788	19615	5245
789	19638	5220
790	19662	5195
791	19685	5169
792	19708	5144
793	19732	5119
794	19755	5094
795	19779	5069
796	19803	5043
797	19826	5018
798	19850	4993
799	19874	4968
800	19898	4943
801	19920	4918
802	19945	4893
803	19969	4868
804	19992	4842
805	20015	4817
806	20039	4792
807	20063	4767
808	20087	4742
809	20113	4717
810	20137	4692
811	20162	4668
812	20186	4643
813	20221	4620
814	20246	4595
815	20270	4570
816	20298	4546
817	20322	4521
818	20346	4496
819	20367	4470
820	20392	4446
